2023-04-07T21:05:42.681Z | [Type of Object]: string         | [content]: test
2023-04-07T21:05:42.682Z | [Type of Object]: number         | [content]: 1.1
2023-04-07T21:05:42.682Z | [Type of Object]: boolean        | [content]: true
2023-04-07T21:05:42.682Z | [Type of Object]: boolean        | [content]: false
2023-04-07T21:05:42.682Z | [Type of Object]: object         | [content]: null
2023-04-07T21:05:42.682Z | [Type of Object]: undefined      | [content]: undefined
2023-04-07T21:05:42.683Z | [Type of Object]: number         | [content]: null
2023-04-07T21:05:42.683Z | [Type of Object]: number         | [content]: null
2023-04-07T21:05:42.683Z | [Type of Object]: number         | [content]: null
2023-04-07T21:05:42.683Z | [Type of Object]: symbol         | [content]: undefined
2023-04-07T21:05:42.683Z | [Type of Object]: function       | [content]: undefined
2023-04-07T21:05:42.683Z | [Type of Object]: function       | [content]: undefined
2023-04-07T21:05:42.683Z | [Type of Object]: function       | [content]: undefined
2023-04-07T21:05:42.682Z | [Type of Object]: object         | [content]: {"test":"test"}
2023-04-07T21:05:42.682Z | [Type of Object]: object         | [content]: ["test","test"]
2023-04-07T21:05:42.682Z | [Type of Object]: number         | [content]: 1
2023-04-07T21:05:42.683Z | [Type of Object]: function       | [content]: undefined
2023-04-07T21:05:42.683Z | [Type of Object]: object         | [content]: "2023-04-07T21:05:42.683Z"
2023-04-07T21:05:42.683Z | [Type of Object]: object         | [content]: {}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {"0":0,"1":0}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {"0":0,"1":0}
2023-04-07T21:05:42.683Z | [Type of Object]: object         | [content]: {}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {}
2023-04-07T21:05:42.684Z | [Type of Object]: object         | [content]: {}
